order	steering
1	61.0
2	69.0
3	58.0
4	69.0
5	63.0
6	61.0
7	68.0
8	60.0
9	72.0
10	63.0
11	65.0
12	69.0
13	60.0
14	71.0
15	61.0
16	66.0
17	67.0
18	61.0
19	71.0
20	60.0
21	67.0
22	66.0
23	63.0
24	70.0
25	59.0
26	69.0
27	64.0
28	62.0
29	69.0
30	58.0
31	68.0
32	62.0
33	63.0
34	70.0
35	60.0
36	71.0
37	62.0
38	65.0
39	66.0
40	61.0
41	72.0
42	61.0
43	68.0
44	66.0
45	61.0
46	70.0
47	59.0
48	69.0
49	65.0
50	62.0
51	69.0
52	60.0
53	70.0
54	64.0
55	64.0
56	69.0
57	60.0
58	70.0
59	62.0
60	65.0
61	68.0
62	60.0
63	70.0
64	60.0
65	66.0
66	66.0
67	60.0
68	70.0
69	59.0
70	68.0
71	66.0
72	62.0
73	70.0
74	60.0
75	70.0
76	63.0
77	62.0
78	69.0
79	60.0
80	71.0
81	62.0
82	64.0
83	68.0
84	60.0
85	70.0
86	60.0
87	65.0
88	65.0
89	59.0
90	71.0
91	61.0
92	68.0
93	66.0
94	62.0
95	70.0
96	59.0
97	68.0
98	63.0
99	63.0
100	69.0
101	58.0
102	69.0
103	68.0
104	69.0
105	68.0
106	68.0
107	68.0
108	68.0
109	69.0
110	69.0
111	69.0
112	69.0
113	68.0
114	68.0
115	69.0
116	69.0
117	68.0
118	69.0
119	68.0
120	68.0
121	69.0
122	70.0
123	67.0
124	68.0
125	69.0
126	69.0
127	69.0
128	68.0
129	69.0
130	69.0
131	68.0
132	68.0
133	69.0
134	68.0
135	69.0
136	70.0
137	70.0
138	70.0
139	72.0
140	73.0
141	73.0
142	74.0
143	72.0
144	74.0
145	75.0
146	76.0
147	76.0
148	77.0
149	78.0
150	77.0
151	77.0
152	77.0
153	76.0
154	77.0
155	77.0
156	77.0
157	79.0
158	79.0
159	77.0
160	76.0
161	77.0
162	77.0
163	77.0
164	77.0
165	73.0
166	73.0
167	79.0
168	79.0
169	81.0
170	81.0
171	80.0
172	80.0
173	80.0
174	80.0
175	80.0
176	79.0
177	79.0
178	80.0
179	81.0
180	81.0
181	81.0
182	81.0
183	82.0
184	83.0
185	80.0
186	78.0
187	81.0
188	81.0
189	82.0
190	83.0
191	82.0
192	82.0
193	81.0
194	81.0
195	80.0
196	79.0
197	81.0
198	81.0
199	81.0
200	81.0
201	81.0
202	81.0
203	81.0
204	81.0
205	82.0
206	82.0
207	81.0
208	81.0
209	82.0
210	83.0
211	80.0
212	80.0
213	81.0
214	81.0
215	81.0
216	81.0
217	81.0
218	82.0
219	82.0
220	82.0
221	84.0
222	84.0
223	85.0
224	84.0
225	84.0
226	87.0
227	84.0
228	86.0
229	91.0
230	86.0
231	86.0
232	86.0
233	86.0
234	86.0
235	86.0
236	86.0
237	86.0
238	70.0
239	67.0
240	65.0
241	67.0
242	89.0
243	67.0
244	67.0
245	67.0
246	67.0
247	67.0
248	67.0
249	67.0
250	89.0
251	82.0
252	82.0
253	81.0
254	81.0
255	81.0
256	81.0
257	81.0
258	81.0
259	81.0
260	81.0
261	82.0
262	81.0
263	81.0
264	80.0
265	81.0
266	82.0
267	82.0
268	82.0
269	82.0
270	82.0
271	82.0
272	82.0
273	82.0
274	82.0
275	82.0
276	82.0
277	88.0
278	82.0
279	81.0
280	81.0
281	81.0
282	81.0
283	81.0
284	83.0
285	82.0
286	82.0
287	82.0
288	81.0
289	81.0
290	81.0
291	81.0
292	82.0
293	82.0
294	80.0
295	81.0
296	81.0
297	81.0
298	82.0
299	83.0
