0.0145620900047	0.177007872331	0.0	0.0

order	e	e_dot	theta	theta_dot
1	18.5	-0.08218	0.0	0.0
2	19.1	-0.00369	0.0	0.0
3	18.5	0.01012	0.0	0.0
4	18.5	0.0	0.0	0.0
5	20.1	-0.00992	0.0	0.0
6	20.1	0.0	0.0	0.0
7	17.6	0.01544	0.0	0.0
8	16.3	0.00806	0.0	0.0
9	17.4	-0.00678	0.0	0.0
10	17.2	0.00124	0.0	0.0
11	17.4	-0.00124	0.0	0.0
12	17.4	0.0	0.0	0.0
13	17.4	0.0	0.0	0.0
14	17.4	0.0	0.0	0.0
15	17.8	-0.00248	0.0	0.0
16	18.0	-0.00124	0.0	0.0
17	17.7	0.00185	0.0	0.0
18	17.2	0.00311	0.0	0.0
19	18.0	-0.00494	0.0	0.0
20	19.1	-0.00679	0.0	0.0
21	17.4	0.01055	0.0	0.0
22	16.5	0.00556	0.0	0.0
23	18.0	-0.1161	0.0	0.0
24	18.0	0.0	0.0	0.0
25	17.7	0.00186	0.0	0.0
26	17.5	0.00123	0.0	0.0
27	18.6	-0.0068	0.0	0.0
28	19.3	-0.00434	0.0	0.0
29	19.3	0.0	0.0	0.0
30	19.8	-0.00309	0.0	0.0
31	19.0	0.00495	0.0	0.0
32	19.2	-0.00124	0.0	0.0
33	17.5	0.21366	0.0	0.0
34	16.9	0.0019	0.0	0.0
35	17.5	-0.00373	0.0	0.0
36	17.6	-0.00062	0.0	0.0
37	18.8	-0.0074	0.0	0.0
38	19.3	-0.00311	0.0	0.0
39	17.4	0.01172	0.0	0.0
40	16.6	0.00493	0.0	0.0
41	17.5	-0.0056	0.0	0.0
42	17.4	0.00062	0.0	0.0
43	17.5	-0.00756	0.0	0.0
44	17.9	-0.00129	0.0	0.0
45	18.4	-0.00309	0.0	0.0
46	18.7	-0.00185	0.0	0.0
47	17.7	0.00616	0.0	0.0
48	17.3	0.00249	0.0	0.0
49	18.6	-0.00801	0.0	0.0
50	18.8	-0.00123	0.0	0.0
51	17.2	0.00995	0.0	0.0
52	17.2	0.0	0.0	0.0
53	17.2	0.0	0.0	0.0
54	17.9	-0.00225	0.0	0.0
55	17.5	0.00246	0.0	0.0
56	17.5	0.0	0.0	0.0
57	18.1	-0.0037	0.0	0.0
58	17.8	0.00186	0.0	0.0
59	18.1	-0.00186	0.0	0.0
60	18.1	0.0	0.0	0.0
61	17.6	0.00311	0.0	0.0
62	18.5	-0.00555	0.0	0.0
63	18.8	-0.03525	0.0	0.0
64	18.5	0.00095	0.0	0.0
65	18.7	-0.00124	0.0	0.0
66	18.9	-0.00123	0.0	0.0
67	18.9	0.0	0.0	0.0
68	18.9	0.0	0.0	0.0
69	18.0	0.00548	0.0	0.0
70	16.9	0.00689	0.0	0.0
71	17.6	-0.00435	0.0	0.0
72	17.9	-0.00185	0.0	0.0
73	17.3	0.07428	0.0	0.0
74	16.7	0.0019	0.0	0.0
75	18.6	-0.01175	0.0	0.0
76	19.5	-0.00555	0.0	0.0
77	18.0	0.00926	0.0	0.0
78	17.2	0.00497	0.0	0.0
79	17.3	-0.00062	0.0	0.0
80	18.0	-0.00432	0.0	0.0
81	18.3	-0.00187	0.0	0.0
82	18.1	0.00123	0.0	0.0
83	17.9	0.02631	0.0	0.0
84	18.1	-0.00063	0.0	0.0
85	18.5	-0.00247	0.0	0.0
86	18.9	-0.00247	0.0	0.0
87	19.8	-0.00556	0.0	0.0
88	19.1	0.00433	0.0	0.0
89	17.4	0.01052	0.0	0.0
90	17.3	0.00062	0.0	0.0
91	17.8	-0.00311	0.0	0.0
92	17.3	0.00307	0.0	0.0
93	17.6	-0.02521	0.0	0.0
94	18.4	-0.00258	0.0	0.0
95	18.7	-0.00185	0.0	0.0
96	19.0	-0.00185	0.0	0.0
97	19.0	0.0	0.0	0.0
98	18.1	0.0056	0.0	0.0
99	18.8	-0.00433	0.0	0.0
100	20.0	-0.00739	0.0	0.0
101	19.1	0.0056	0.0	0.0

