-0.13286243125	0.39980363687	1.58360687485	-1.15288698721

order	e	e_dot	theta	theta_dot
1	1.081	6.4539	0.0	0.0	[[-0.20893128]]
2	1.114	0.2055	0.0	0.0	[[-0.20893128]]
3	1.069	-0.2778	0.0013	-0.0078	[[-0.88852847]]
4	1.069	-0.0	0.0018	-0.0031	[[-0.8901025]]
5	0.209	-5.3971	0.0049	-0.0193	[[-0.62229345]]
6	0.185	-0.1482	0.0073	-0.0148	[[-0.37164073]]
7	0.157	-0.1726	0.0113	-0.0248	[[-0.28471342]]
8	0.126	-0.1915	0.0133	-0.0124	[[-0.26896436]]
9	0.108	-0.1116	0.0163	-0.0189	[[-0.31689975]]
10	0.09	-0.1114	0.0167	-0.0023	[[-0.30049497]]
11	0.075	-0.0925	0.0167	0.0001	[[-0.17648392]]
12	0.057	-0.1118	0.0161	0.0036	[[-0.16427521]]
13	0.031	-0.1603	0.0158	0.0022	[[-0.17739268]]
14	0.017	-0.0865	0.0152	0.0035	[[-0.16161697]]
15	-0.027	-0.2736	0.0142	0.0063	[[-0.35215784]]
16	-0.047	-0.1235	0.0119	0.014	[[-0.33234539]]
17	-0.07	-0.142	0.0109	0.0064	[[-0.05663859]]
18	-0.09	-0.1243	0.0085	0.015	[[-0.0404626]]
19	-0.132	-0.2589	0.008	0.0028	[[-0.05671288]]
20	-0.159	-0.1669	0.0078	0.0014	[[-0.03509808]]
21	-0.197	-0.2345	0.0075	0.0018	[[ 0.0808237]]
22	-0.215	-0.1116	0.0059	0.0096	[[ 0.10400583]]
23	-0.234	-0.1175	0.0019	0.0249	[[ 0.05706824]]
24	-0.272	-0.2344	0.0	0.0115	[[ 0.07339793]]
25	-0.298	-0.1614	-0.0031	0.0194	[[ 0.37063758]]
26	-0.325	-0.1653	-0.0059	0.0173	[[ 0.39684119]]
27	-0.339	-0.0871	-0.0108	0.0306	[[ 0.24569087]]
28	-0.367	-0.1741	-0.0132	0.0146	[[ 0.26484486]]
29	-0.374	-0.0431	-0.015	0.0114	[[ 0.22673824]]
30	-0.375	-0.0062	-0.0189	0.0241	[[ 0.24217971]]
31	-0.384	-0.0554	-0.0225	0.0218	[[ 0.17049837]]
32	-0.384	-0.0	-0.0296	0.0446	[[ 0.1762791]]
33	-0.398	-0.0863	-0.0317	0.0127	[[ 0.48664489]]
34	-0.396	0.0124	-0.0348	0.0193	[[ 0.4924055]]
35	-0.395	0.0062	-0.0363	0.0094	[[ 0.3196735]]
36	-0.402	-0.0432	-0.0384	0.0127	[[ 0.31961551]]
37	-0.408	-0.037	-0.0391	0.0043	[[ 0.09614685]]
38	-0.395	0.0808	-0.0385	-0.0034	[[ 0.1014484]]
39	-0.298	0.5982	-0.0393	0.0049	[[ 0.38417402]]
40	-0.381	-0.5127	-0.0414	0.0129	[[ 0.34993082]]
41	-0.383	-0.0123	-0.042	0.0037
[[  7.27000000e-01  -6.89817700e-02   7.30996900e-01   2.00000000e-05]]

